Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00022542,-0.0069918,-0.00061105,0,0,0,0.54556,0.0014822,1.2936E-08,-8.233E-09,0.0018155,2.3717E-08,0.00036342,0,0,0,0,0,0,package://ic_arm_cnc/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ic_arm_cnc/meshes/base_link.STL,,大电机内夹随动-1;大电机-1,cb,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.121679303915308,0.00317679385775441,-0.0220385702843656,0,0,0,0.695275812650996,0.000242596037204506,-4.05295120004066E-07,-1.52443567277478E-06,0.000625812426276259,-7.40953018359945E-09,0.000557264786710731,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link1.STL,,大电机随动-1;大电机传动-1;杆4-1;肩膀电机外夹传动-5;肩膀电机外夹随动-5;肩膀电机内夹传动2-5;DM 6248 减速电机20250717_1-5,c1,A1,j1,revolute,0,-0.04875,0,1.5708,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link2,0.100655712032868,-0.00283282379893407,0.0302607494646697,0,0,0,0.779924784786978,0.000318904575683448,3.74925668763148E-06,-3.80296728135411E-06,0.000668239753491371,-7.50072557503078E-09,0.000667807985722013,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link2.STL,,后背电机内夹传动-1;后背电机内夹随动-1;杆3-1;肩膀电机外夹随动-1;肩膀电机外夹传动-1;DM 6248 减速电机20250717_1-1;肩膀电机内夹传动2-1,c2,A2,j2,revolute,0.17,-0.03225,-0.022,1.5708,-1.5708,0,link1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link3,0.0360275188907008,6.51215528056082E-05,0.0291485646419718,0,0,0,0.368524331084961,0.000175493374854158,3.36242444810173E-06,2.15501020735453E-05,0.000260224937843969,-2.06782140586426E-08,0.000328155908823232,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link3.STL,,肩膀电机内夹传动-1;肩膀电机内夹随动-1;电机-2,c3,A3,j3,revolute,0.158,0.03225,0.031375,1.5708,1.5708,0,link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link4,-0.000735676346748593,-5.83183918462238E-06,0.149099716396589,0,0,0,0.509241253177322,0.000914906706461931,1.98967345346096E-08,-1.28696149198796E-07,0.000903713224200902,-2.32275270969647E-08,0.000140443996774724,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link4.STL,,电机直筒传动-1;杆2-1;电机外夹随动-1;电机外夹传动-1;电机-1,c4,A4,j4,revolute,0.10133,0.00020163,0.031375,0,-1.5708,0,link3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link5,0.0346574583478251,0.0501422917476773,-0.0175540712096531,0,0,0,0.373776593366736,0.000200452598080259,2.65391575548088E-07,3.58345430768175E-05,0.000231154745169539,1.66391288427178E-06,0.000209567606509328,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link5.STL,,电机内夹随动-1;电机内夹传动-1;杆1-1;电机内夹随动2-1;电机内夹传动2-1;DM-J4310-2EC-V1.1__3d_20240822_1.stp-1,c5,A5,j5,revolute,0.02715,0,0.25198,1.5708,0,-1.5708,link4,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link6,-3.33749418102158E-08,-1.36400007819115E-05,0.0176091608486317,0,0,0,0.264382698007394,0.000224650822727004,-1.93416688640056E-07,8.07259421863697E-11,0.000148923376183376,3.299071563267E-08,0.000288790853784869,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link6.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://ic_arm_cnc/meshes/link6.STL,,Gaoqing-wrist small.step-1,c6,A6,j6,revolute,0.058161,0.07975,-0.065144,1.5708,1.5708,0,link5,0,0,-1,0,0,-3.14,3.14,,,,,,,,
