Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000225416377366505,-0.00699176652767465,-0.000611050170295988,0,0,0,0.545555756413814,0.00148221914845745,1.29357492219734E-08,-8.23302086836562E-09,0.00181552298071994,2.37166870145294E-08,0.000363419537443052,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/base_link.STL,,大电机内夹随动-1;大电机-1,cb,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.121679303915314,0.00317679385775724,-0.0220385702843655,0,0,0,0.695275812651088,0.000242596037204506,-4.05295120004084E-07,-1.52443567277452E-06,0.000625812426276259,-7.40953018362596E-09,0.000557264786710731,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link1.STL,,大电机随动-1;大电机传动-1;杆4-1;肩膀电机外夹传动-5;肩膀电机外夹随动-5;肩膀电机内夹传动2-5;DM 6248 减速电机20250717_1-5,c1,A1,j1,fixed,0,-0.0487499999999948,0,1.5707963267949,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link2,0.100655712032875,-0.00283282379893662,0.0302607494646707,0,0,0,0.779924784787069,0.000318904575683448,3.7492566876314E-06,-3.80296728135434E-06,0.000668239753491371,-7.50072557499862E-09,0.000667807985722012,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link2.STL,,后背电机内夹传动-1;后背电机内夹随动-1;杆3-1;肩膀电机外夹随动-1;肩膀电机外夹传动-1;DM 6248 减速电机20250717_1-1;肩膀电机内夹传动2-1,c2,A2,j2,revolute,0.170000000000006,-0.0322500000000037,-0.021999999999981,1.5707963267949,-1.5707963267949,0,link1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link3,0.0360275188906871,6.51215528061355E-05,0.0291485646419667,0,0,0,0.368524331084875,0.000175493374854123,3.36242444809808E-06,2.15501020735674E-05,0.000260224937843918,-2.06782140656942E-08,0.000328155908823215,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link3.STL,,肩膀电机内夹传动-1;肩膀电机内夹随动-1;电机-2,c3,A3,j3,revolute,0.157999999999779,0.0322499999999743,0.0313750000000022,1.5707963267949,1.5707963267949,0,link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link4,-0.000735676346749148,-5.88952426461287E-06,0.149099716396589,0,0,0,0.509241253177324,0.000914906706461933,1.98967345346439E-08,-1.28696149198743E-07,0.000903713224200903,-2.32275270968821E-08,0.000140443996774724,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link4.STL,,电机直筒传动-1;杆2-1;电机外夹随动-1;电机外夹传动-1;电机-1,c4,A4,j4,revolute,0.101324999999999,0.000201574744066124,0.0313749711574603,0,-1.5707963267949,0,link3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link5,0.0346574583481928,0.0501422917477973,-0.0175540712102257,0,0,0,0.373776593363909,0.000200452598080136,2.65391575338427E-07,3.58345430767001E-05,0.000231154745169143,1.66391288434301E-06,0.000209567606508894,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link5.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link5.STL,,电机内夹随动-1;电机内夹传动-1;杆1-1;电机内夹随动2-1;电机内夹传动2-1;DM-J4310-2EC-V1.1__3d_20240822_1.stp-1,c5,A5,j5,revolute,0.0271500000000006,0,0.251975000000001,1.5707963267949,0,-1.5707963267949,link4,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link6,-3.46809515827662E-07,-0.00124559035948796,0.0689744891334171,0,0,0,0.579617737607548,0.000583907120371141,2.8363874165854E-08,-1.58618213851183E-08,0.000703039495519333,1.12530520847757E-05,0.000372057010968742,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link6.STL,,装配体2-2/wrist-base-flange-1-1;装配体2-2/wrist-motor-base-1-1;装配体2-2/wrist-motor-flange-1-2;装配体2-2/拉杆1-2;装配体2-2/拉杆1-1;装配体2-2/wrist-side-1-bak-1;装配体2-2/拉杆3-1;装配体2-2/wrist-motor-flange-1-1;装配体2-2/连杆法兰长-1;装配体2-2/连杆法兰长-2;装配体2-2/拉杆3-2;装配体2-2/HTDW-4438-30-NE-v2502.STEP-1-1;装配体2-2/HTDW-4438-30-NE-v2502.STEP (1)-1-1;装配体2-2/wrist-side-2-bak-1,c6,A6,j6,revolute,0.0581614589983922,0.0797500000000077,-0.0651444885852229,1.5707963267949,1.5707963267949,0,link5,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link7,0.00223553796690845,7.83382680946687E-09,5.34065208723788E-09,0,0,0,0.278311513027483,0.000203548543522467,2.87858401060561E-10,4.08107515915429E-12,0.000207196716993928,7.76970587629253E-09,0.000199154789570369,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link7.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link7.STL,,装配体2-2/手腕-1;装配体2-2/套环-1,C7,A7,j7,revolute,0,0.000499994521354935,0.143747400000036,-1.5707963267949,0,0,link6,0,0,1,0,0,-3.14,3.14,,,,,,,,
link8,-2.37397353720914E-05,-0.0313097505616887,0.00301991466811524,0,0,0,0.121670167479505,0.000123926695900286,-3.78213009009314E-08,6.45002967916002E-09,8.38535074020475E-05,-1.76624139702701E-09,5.66773353116512E-05,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link8.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ic_arm_with_wrist/meshes/link8.STL,,装配体2-2/输出法兰-1;装配体2-2/从动法兰-1;装配体2-2/wrist-gripper-linker-1,C8,A8,j8,revolute,0,0,0,3.1416,-1.5708,0,link7,0,0,1,0,0,-3.14,3.14,,,,,,,,
