time,m1_pos_actual,m1_vel_actual,m1_torque,m2_pos_actual,m2_vel_actual,m2_torque,m3_pos_actual,m3_vel_actual,m3_torque,m4_pos_actual,m4_vel_actual,m4_torque,m5_pos_actual,m5_vel_actual,m5_torque,m6_pos_actual,m6_vel_actual,m6_torque,m1_acc_actual,m2_acc_actual,m3_acc_actual,m4_acc_actual,m5_acc_actual,m6_acc_actual
8.4575,0.472457885742,-0.360195159912,0.732604980469,0.318871498108,-0.249084472656,-6.476188659668,1.486598014832,0.112333297729,9.816864013672,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,7.326126098599994,0.0,0.0,0.0,0.0,0.0
8.46,0.472457885742,-0.360195159912,0.732604980469,0.318871498108,-0.249084472656,-6.476188659668,1.486981391907,0.112333297729,9.758255004883,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,-4.883956909199993,-1.9535064697999982,0.0,0.0,0.0,0.0
8.4625,0.471313476562,-0.384614944458,0.732604980469,0.318104743958,-0.258852005005,-6.241760253906,1.486981391907,0.112333297729,9.816864013672,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,-7.326126098599994,-1.9535064697999982,0.0,0.0,0.0,0.0
8.465,0.470169067383,-0.396825790405,0.732604980469,0.317337036133,-0.258852005005,-6.241760253906,1.487364768982,0.112333297729,10.109893798828,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,2.4417877197999927,-1.9535064698000038,1.9535064698000009,0.0,0.0,0.0
8.4675,0.46940612793,-0.372406005859,0.830291748047,0.316953659058,-0.268619537354,-6.183151245117,1.487748146057,0.122100830078,10.109893798828,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,-2.4417877198000038,-1.9535064698000038,3.907394409199999,0.0,0.0,0.0
8.47,0.46826171875,-0.409034729004,0.830291748047,0.316186904907,-0.268619537354,-6.183151245117,1.488131523132,0.131870269775,10.168502807617,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,-7.325744628999997,0.0,1.953887939399998,0.0,0.0,0.0
8.4725,0.46826171875,-0.409034729004,0.830291748047,0.316186904907,-0.268619537354,-6.183151245117,1.488131523132,0.131870269775,10.168502807617,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,2.4417877198000038,0.0,-1.953887939399998,0.0,0.0,0.0
8.475,0.467498779297,-0.396825790405,0.927978515625,0.315420150757,-0.268619537354,-6.065933227539,1.488514900208,0.122100830078,9.699645996094,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,-4.883956909199993,0.0,-1.953887939399998,0.0,0.0,0.0
8.477500000000001,0.465972900391,-0.43345451355,0.927978515625,0.314653396606,-0.268619537354,-6.00732421875,1.488898277283,0.122100830078,9.523818969727,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,-2.4417877198000038,-1.9538879394000008,1.953887939399998,0.0,0.0,0.0
8.48,0.465209960938,-0.409034729004,1.025650024414,0.313885688782,-0.278388977051,-5.948715209961,1.489282608032,0.131870269775,9.699645996094,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,7.325744628999997,0.0,1.953887939399998,0.0,0.0,0.0
8.4825,0.464065551758,-0.396825790405,1.025650024414,0.313502311707,-0.268619537354,-5.831504821777,1.489665985107,0.131870269775,9.465209960938,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,2.4417877198000038,1.9538879394000008,0.0,0.0,0.0,0.0
8.485,0.464065551758,-0.396825790405,1.025650024414,0.313502311707,-0.268619537354,-5.831504821777,1.489665985107,0.131870269775,9.465209960938,-0.510986328125,0.16849899292,-0.608547210693,0.43736076355,-0.202686309814,-3.124786376953,1.090828895569,0.5641040802,0.178266525269,-7.325744628999997,-1.9538879394000008,-1.953887939399998,0.0,0.0,0.0
